flow_uuid,flow_name_zh,flow_name_en,flow_type,default_unit,unit_group,compartment,updated_at
ee4a373e-0f64-47df-8956-fa6fc1d76e39,氯乙酸,Chloroacetic acid,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-01-03T16:03:40.716183+08:00
ee70bc1a-99d9-40f5-905c-c0a661f21881,果仁,Nut,Product flow,kg,Units of mass,Materials production;Food and renewable raw materials,2024-01-03T16:03:41.622242+08:00
ee92a992-3c2a-4d0b-b23a-fac001ea6e80,固体悬浮液,Solid suspension,Product flow,kg,Units of mass,Wastes;Waste water,2024-04-16T19:00:20.874337+08:00
ee972c32-62ac-4b4d-9580-6d00b78cf0cc,阴离子交换膜,Anion exchange membrane,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:21.900089+08:00
ee99ff67-8df3-4e50-b118-a7f3f1af224b,钢铁废料（外部供应）,Steel scrap (external supply),Product flow,kg,Units of mass,Wastes;Production residues,2010-07-31T00:00:00+01:00
eea5e113-2fbc-4fde-ac38-b938654f382c,蚕丝、印染丝织物,Natural Silk,Product flow,kg,Units of mass,Materials production;Other materials,2024-01-03T16:03:41.280704+08:00
ef3ecfe0-d179-4350-a258-6d86ced3ebe8,甲基-1650,Methyl-1650,Product flow,kg,Units of mass,Emissions;Particles,2024-04-16T19:00:22.153065+08:00
ef415e30-00ef-43ca-ad5a-d1adc013e624,生产残渣（未指明）,Production residues (unspecified),Product flow,kg,Units of mass,Wastes;Production residues,1998-05-01T00:00:00+01:00
ef9cecfc-0f7f-46bc-9f47-6eeb2d822c73,金属件②,Metal Parts,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-01-03T16:03:41.422114+08:00
efb9df88-c726-4325-aa0f-7c8866b37bce,鱼类和海产品加工行业 - CN,Prepared fish and seafood Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.879430+08:00
f011e841-dfed-4e80-99c3-a5f71e50f890,冰晶石,Cryolite,Product flow,m3,Units of volume,Materials production;Inorganic chemicals,2024-04-16T19:00:22.779613+08:00
f020de16-798e-4bc8-abef-ca2204a4931f,废塑料,Waste Plastic,Product flow,kg,Units of mass,End-of-life treatment;Material recycling,2024-04-16T19:00:22.264150+08:00
f069e7af-e2e1-4e50-a525-a846c41acd7f,竹地板、竹、藤、棕、草制品,Bamboo Flooring,Product flow,m3,Units of volume,Materials production;Wood,2024-01-03T16:03:41.344383+08:00
f071de95-8827-48c8-ab32-3b2612583635,薄型纸,Waste Sheet,Product flow,kg,Units of mass,Wastes;Post consumer waste,2024-01-03T16:03:41.347677+08:00
f071f5aa-135a-446b-80f0-3d69324eb241,合成化学品行业 - CN,Synthetic chemicals Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.907340+08:00
f0aeeb00-6d5b-4e9d-8e3b-169d2b2e56d4,低放射性废物,Low radioactive wastes,Product flow,kBq,Units of radioactivity,Wastes;Radioactive waste,2015-06-30T12:00:00+00:00
f0d749db-8964-4d3d-8d87-218b63e60421,钇,Yttrium,Product flow,kg,Units of mass,Materials production;Inorganic chemicals,2024-04-16T19:00:21.674368+08:00
f0e01792-b7a5-475e-abb7-de0ac339d606,直流电,Direct Current Electricity,Product flow,MJ,Units of energy,Energy carriers and technologies;Electricity,2024-04-16T19:00:21.228839+08:00
f0eef2a5-8b5d-49af-91c2-858edd35066e,活性二氧化硅,Activated silica,Product flow,kg,Units of mass,Materials production;Inorganic chemicals,2024-04-16T19:00:21.178337+08:00
f1013841-d822-423f-ba73-16cfdec80970,氯化烃,Chlorinated Hydrocarbon,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-04-16T19:00:21.830215+08:00
f10ba702-3545-4d0d-8676-e6a755c35fd8,其他电气机械和设备行业 - CN,Other electric machinery and equipment Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.948296+08:00
f10e7264-fc49-491a-a886-f717e3c7a437,烟煤,Bituminite,Product flow,kg,Units of mass,Energy carriers and technologies;Lignite based fuels,2024-01-03T16:03:40.980261+08:00
f1334ecc-c198-46fa-b1e8-d7bdc75262b9,磁粉，约 200 微米,"Magnet powder, ca 200 micron",Product flow,kg,Units of mass,Wastes;Construction waste,2024-04-16T19:00:21.302170+08:00
f140a5a2-5318-4d06-956f-a87b9c6fda25,"废纸, 未指明",waste paper (unspecified),Waste flow,kg,Units of mass,Wastes;Production residues,
f164ed07-9abb-4f7b-b472-2ee8c9a6aaf1,竹地板、竹制人造板等,Bamboo Flooring,Product flow,m3,Units of volume,Materials production;Other materials,2024-01-03T16:03:41.376778+08:00
f1859b62-89d7-43d3-9a2a-7ffefee8941a,Hg2+/总汞,Hg2+/Total Mercury,Product flow,kg,Units of mass,Emissions;Metal and semimetal elements and ions,2024-04-16T19:00:22.395263+08:00
f1961e55-583a-4e4d-9f5f-aec1edf95399,湿电石渣,"Carbide slag, wet",Waste flow,kg,Units of mass,Wastes;Radioactive waste,2023-09-01T20:22:53.981880+08:00
f197b457-ed8f-43c7-9db6-60b9f307c4b2,氧化镨,Praseodymium oxide,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-04-16T19:00:21.692950+08:00
f19e45c2-34a8-4903-86f4-6f423e3c7597,重芳烃,Heavy aromatics,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-04-16T19:00:21.669067+08:00
f1a37324-4e38-4ae7-8308-dfcc72fed6cd,稀土氯化物溶液,Rare Earth chloride solution,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-04-16T19:00:20.894448+08:00
f1b285a5-2733-450c-af08-69e960b671ee,聚合氯化铝,Polyaluminium Chloride,Product flow,kg,Units of mass,End-of-life treatment;Waste water treatment,2024-04-16T19:00:21.421222+08:00
f1ba9c28-b54e-4533-a91c-4c1ea1e9e600,助焊剂，用于波峰焊,"Flux, for wave soldering",Product flow,m3,Units of volume,Energy carriers and technologies;Heat and steam,2024-04-16T19:00:22.887060+08:00
f1bde972-3982-4e0b-b6fc-735c8997a9c1,二次铝锭,Secondary aluminium ingot,Product flow,m3,Units of volume,Materials production;Metals and semimetals,2024-04-16T19:00:23.006188+08:00
f1c15899-4b35-4c76-a467-c396132c5a1f,电锌,Electrolysis Zinc,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-01-03T16:03:40.951087+08:00
f1f2a4e3-0139-442d-b130-12dd4e19a788,其他酰胺类农药①,Acyl Amide Pesticides,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-01-03T16:03:41.507551+08:00
f20af980-11c6-4a6b-8dbc-4aa7683bfd98,"不锈钢废料, 316级, 外部供应来源","stainless steel scrap (316, from external supply)",Waste flow,kg,Units of mass,Wastes;Production residues,2012-01-20T10:26:17+01:00
f225c346-5bf4-489e-9342-9e1dcedca6ae,金属丝网,Wire Mesh,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-04-16T19:00:23.163437+08:00
f22e74f7-78a6-477a-b1d9-d5bd9946677f,其他工程建筑行业 - CN,Other engineering construction Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.964006+08:00
f23875ac-3a7f-48d2-9f97-c8b233783b2d,建筑垃圾,Construction waste,Product flow,kg,Units of mass,Emissions;Other substance type,2024-04-16T19:00:22.604253+08:00
f24aafe3-8c41-466a-97c8-001dd37c60de,废物（固体）,Waste (solid),Product flow,kg,Units of mass,Wastes;Production residues,2012-11-01T00:00:00+01:00
f24cbd06-38a5-47ec-8f7a-748a52bf9a88,废旧轮胎,Waste Tire,Product flow,kg,Units of mass,Wastes;Production residues,2024-04-16T19:00:22.540751+08:00
f2563845-b5ac-4323-8e0a-dda0ed7c4fc6,再生聚对苯二甲酸乙二醇酯颗粒,Recycled Polyethylene Terephthalate Granules,Product flow,kg,Units of mass,Materials production;Plastics,2024-04-16T19:00:22.275720+08:00
f25e48ed-24f9-47bd-ba0e-9db9c0849b82,铁合金冶炼行业 - CN,Iron alloy smelting  Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.921798+08:00
f270eaa8-6734-48a2-83f8-9f0d5bf74163,套管,casing,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-04-16T19:00:23.460967+08:00
f293ebac-fd86-4efc-bfdd-52cf5933d112,硅烷,Silane,Product flow,kg,Units of mass,Materials production;Inorganic chemicals,2024-04-16T19:00:21.418303+08:00
f2993094-f95a-4574-a8ed-08d4f2a9df4e,微碳铬铁,Micro-carbon ferrochrome,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-01-03T16:03:41.098881+08:00
f2b0da4e-ca03-4117-9218-dd3f7905112f,果蔬汁饮料,Vegetable Juice,Product flow,kg,Units of mass,Materials production;Food and renewable raw materials,2024-01-03T16:03:41.586187+08:00
f2eb1e33-3d42-40ef-a0da-2532cf491ddf,冷弯型材,Cold-forming shapes,Product flow,kg,Units of mass,Materials production;Other materials,2024-01-03T16:03:40.735577+08:00
f31ec7ac-eebf-4bad-8665-a6511dcfa0f1,挥发性有机化合物 (VOC),Volatile Organic Compounds (VOCs),Product flow,kg,Units of mass,Emissions;Non-metallic or -semimetallic ions,2024-04-16T19:00:22.351986+08:00
f32fc628-252f-40fe-8f8d-fd0efb955e92,钛板,Titanium Plate,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-01-03T16:03:40.913555+08:00
f33bf641-68ac-4e46-93f4-834fce0ec5bb,焦亚硫酸钠,Sodium metabisulfite,Product flow,kg,Units of mass,Materials production;Inorganic chemicals,2024-04-16T19:00:21.218809+08:00
f35b8203-77dc-4970-a0b5-7280ae844ea6,钻井作业,Drilling Operation,Product flow,m,Units of length,Materials production;Other materials,2024-01-03T16:03:40.854538+08:00
f3a815bd-2c92-49fd-af0f-93df545c690b,烟煤/无烟煤/褐煤/型煤,Bituminous coal,Product flow,kg,Units of mass,Energy carriers and technologies;Hard coal based fuels,2024-01-03T16:03:40.977613+08:00
f3cc03fd-14d6-4cee-ad0f-81bf4142e6b7,费托合成柴油、石脑油、液化石油气,Fischer-Tropsch process,Product flow,kg,Units of mass,Materials production;Other materials,2024-01-03T16:03:41.427407+08:00
f3ebe5a4-9144-46fa-b813-391eea40d8f0,AOX,Adsorbable Organic Halide,Product flow,kg,Units of mass,Emissions;Other substance type,2024-04-16T19:00:22.622325+08:00
f41d5e36-5e77-4fcf-b4a9-449a57e7cd6c,铝壳,Aluminum Shell,Product flow,Item(s),Units of items,Materials production;Metals and semimetals,2024-04-16T19:00:22.116318+08:00
f43bdef0-fab4-46ae-9db9-f3bf8c552760,电银,Telegraphic Transfer,Product flow,kg,Units of mass,Materials production;Other materials,2024-01-03T16:03:40.903932+08:00
f4427b83-b065-4ea1-992d-9a8290c2a99b,塑料纸,Plastic Sheet,Product flow,kg,Units of mass,Materials production;Plastics,2024-04-16T19:00:22.311040+08:00
f4439eab-25f5-4cc0-b566-957bfe0e2d82,沥青密封,Bitumen seal,Product flow,m3,Units of volume,Materials production;Other mineralic materials,2024-04-16T19:00:22.918399+08:00
f4511acc-cae7-4313-b795-615c7ff20406,植物油和饲料行业 - CN,Vegetable oil and forage Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.876658+08:00
f46cd45b-b457-41f3-bd08-1ab41bd796e5,钢型材,Steel sections,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2010-07-31T00:00:00+01:00
f49cbdc9-4749-4154-b3b5-345f31bcfda0,上光油（溶剂型）,Gloss Oil,Product flow,kg,Units of mass,Systems;Paints and chemical preparations,2024-01-03T16:03:41.177411+08:00
f4a05509-d5ba-4e62-a3fa-9cc2bf91ef5a,刨花板、其他人造板（非木质人造板、细工木板、胶合木、重组装饰材、饰面人造板等）,Particle Board,Product flow,m3,Units of volume,Materials production;Wood,2024-01-03T16:03:41.293311+08:00
f4a21fe7-2aa1-4a57-93f0-47be20fb33b3,涂料（无溶剂UV）,Ultraviolet (UV) Coating,Product flow,kg,Units of mass,Systems;Paints and chemical preparations,2024-01-03T16:03:41.387654+08:00
f4a69c4f-0dff-4b7c-8bb6-e699bf9be0fc,腻子粉,Putty Powder,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:22.056649+08:00
f4a88f79-e214-402b-b15a-96de0d4d85a2,有机颜料（杂环类）,Organic Pigments (Heterocyclic),Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-01-03T16:03:40.706935+08:00
f4deddcb-8a7f-4fa9-b7e3-ce6f46a15720,管道运输 行业 - CN,Pipeline transport Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.975193+08:00
f4dfd1a4-b24e-471e-bd21-04ad7a45ea52,再生聚乙烯,Recycled Polyethylene,Product flow,kg,Units of mass,End-of-life treatment;Other end-of-life services,2024-04-16T19:00:22.369174+08:00
f4ebe6e5-4652-4be0-a36e-478b1f4d2289,焦炭灰分,Coke ash,Product flow,kg,Units of mass,Wastes;Other waste,2024-04-16T19:00:22.144539+08:00
f4eed19a-f927-5017-a69d-fe505180bb7d,废饮料罐,Used beverage cans,Product flow,m3,Units of volume,End-of-life treatment;Material recycling,2024-04-16T19:00:23.072091+08:00
f4f19250-c683-4ff0-9763-1498069df9de,铬钢,Chromium steel,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-04-16T19:00:23.313660+08:00
f4feb7e2-19a8-40af-84e0-9cd7c7142777,磷酸，工业级，不含水，85%溶液状态,"Phosphoric acid, industrial grade, without water, in 85% solution state",Product flow,m3,Units of volume,Materials production;Inorganic chemicals,2024-04-16T19:00:22.927982+08:00
f522fecf-7be0-4f86-8e93-6bfe6ddcb6a7,PVC人造革,PVC Artificial Leather,Product flow,m2,Units of area,Materials production;Plastics,2024-01-03T16:03:41.578526+08:00
f52abe07-71bd-4c15-ae13-fd6c287e3318,兽用基因工程药物和疫苗,Gene Engineered Subunit Vaccine,Product flow,kg,Units of mass,Other Services;Research and development,2024-01-03T16:03:41.434063+08:00
f5325a9a-4bdc-46ea-b878-b88700767ddd,氨 (28%),Ammonia (28%),Product flow,kg,Units of mass,Materials production;Inorganic chemicals,2024-04-16T19:00:22.096511+08:00
f5343a75-41f0-4e53-971b-84bfe3f86ec8,铝化镁,Magnesium Aluminide,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-04-16T19:00:21.971945+08:00
f5386785-920f-4da2-80fc-129db890b80c,黄药,Xanthate,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-04-16T19:00:21.079120+08:00
f575a8ce-1964-4f9f-80a5-dfd0e3b12152,己二酸铵,Ammonium adipate,Product flow,m3,Units of volume,Materials production;Inorganic chemicals,2024-04-16T19:00:22.792980+08:00
f57c9ecc-13d9-4e3f-8b4b-5b719149ed28,非危险性无机废物处置（未指明污泥和粉尘）,Non Hazardous non organic waste for disposal (unspecific sludges and dusts),Product flow,kg,Units of mass,Wastes;Production residues,2010-07-31T00:00:00+01:00
f5950ab1-1f6e-4ff6-a769-242cae592daa,氯化钠废物,Sodium chloride waste,Product flow,kg,Units of mass,Wastes;Other waste,2024-04-16T19:00:21.927918+08:00
f59f0c88-d423-4946-a080-1ff80fc2cea8,玄武岩纤维,Basalt fiber,Product flow,kg,Units of mass,Materials production;Other mineralic materials,2024-01-03T16:03:41.077401+08:00
f5ac1d57-f7e5-464b-9dd2-0d05eb7c1d4d,化学机械浆,Chemi-mechanical pulp,Product flow,kg,Units of mass,Materials production;Paper and cardboards,2024-01-03T16:03:41.399645+08:00
f5b130e1-e52e-4885-847b-2b1b819a8f5c,高放射性废物,High radioactive waste,Waste flow,kg,Units of mass,Wastes;Radioactive waste,2015-06-30T12:00:00.000+00:00
f5b99c8f-758f-4e4d-8cc3-82de36f0c3e2,石墨润滑剂,Graphitic lubricant,Product flow,m3,Units of volume,Materials production;Organic chemicals,2024-04-16T19:00:22.837067+08:00
